Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
ERVK-6	Q7LDI9	['ERVK-6', 'ERVK6']	['ERVK6']			3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN	3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN																				
APTX	Q7Z2E3	['APTX', 'AXA1']	['APTX', 'AXA1']			RXN-17912,RXN-17913	RXN-17912,RXN-17913									RXN-17912,RXN-17913											
NRK	Q7Z2Y5	['NRK']	['NRK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TIPARP	Q7Z3E1	['TIPARP', 'PARP7']	['TIPARP', 'PARP7']			NAD+-ADP-RIBOSYLTRANSFERASE-RXN	NAD+-ADP-RIBOSYLTRANSFERASE-RXN																				
MAATS1	Q7Z4T9	['MAATS1', 'AAT1', 'C3orf15']	['GPT', 'AAT1', 'GPT1']	alanine biosynthesis/degradation	ALANINE-DEG3-PWY	ALANINE-AMINOTRANSFERASE-RXN	ALANINE-AMINOTRANSFERASE-RXN												ALANINE-AMINOTRANSFERASE-RXN								
LYZL2	Q7Z4W2	['LYZL2']	['LYZL2']			3.2.1.17-RXN	3.2.1.17-RXN																				
ATP5L2	Q7Z4Y8	['ATP5L2', 'ATP5K2']	['ATP5L2', 'ATP5K2']			ATPSYN-RXN	ATPSYN-RXN															ATPSYN-RXN					
CAMK2N1	Q7Z7J9	['CAMK2N1']	['CAMK2N1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NEK8	Q86SG6	['NEK8', 'JCK', 'NEK12A']	['KIAA1995', 'NEK12A', 'NEK9', 'NERCC', 'NEK8', 'JCK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TMEM55B	Q86T03	['TMEM55B', 'C14orf9']	['TMEM55B', 'C14orf9']	superpathway of inositol phosphate compounds,D-myo-inositol-5-phosphate metabolism,3-phosphoinositide degradation	PWY-6371,PWY-6367,PWY-6368	RXN-9779	RXN-9779									RXN-9779											
DPP9	Q86TI2	['DPP9', 'DPRP2']	['DPP9', 'DPRP2']			3.4.14.5-RXN	3.4.14.5-RXN																				
TRPT1	Q86TN4	['TRPT1']	['TRPT1']			2.7.1.160-RXN	2.7.1.160-RXN																				
PRUNE	Q86TP1	['PRUNE']	['PRUNE']			INORGPYROPHOSPHAT-RXN	INORGPYROPHOSPHAT-RXN																				
RPAIN	Q86UA6	['RPAIN', 'RIP']	['RIPK1', 'RIP']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TLK2	Q86UE8	['TLK2']	['TLK2', 'PKU-ALPHA']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NAA40	Q86UY6	['NAA40', 'NAT11']	['NAA40', 'NAT11']			RXN-17866,RXN-17865	RXN-17866,RXN-17865															RXN-17866,RXN-17865					
STK32C	Q86UX6	['STK32C', 'YANK3']	['STK32C']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CASZ1	Q86V15	['CASZ1', 'CST', 'SRG', 'ZNF693']	['GAL3ST1', 'CST']	gala-series glycosphingolipids biosynthesis	PWY-7840	RXN-18303,RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN	RXN-18303,RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN							RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN													
MDP1	Q86V88	['MDP1']	['POLG', 'MDP1', 'POLG1', 'POLGA']			RXN0-4961,DNA-DIRECTED-DNA-POLYMERASE-RXN	RXN0-4961,DNA-DIRECTED-DNA-POLYMERASE-RXN																				
TXNRD3	Q86VQ6	['TXNRD3', 'TGR', 'TRXR3']	['TXNRD3', 'TGR', 'TRXR3']	thioredoxin pathway	THIOREDOX-PWY	THIOREDOXIN-REDUCT-NADPH-RXN	THIOREDOXIN-REDUCT-NADPH-RXN																				
CYP4Z1	Q86W10	['CYP4Z1', 'UNQ3060/PRO9882']	['CYP4Z1', 'UNQ3060/PRO9882']			UNSPECIFIC-MONOOXYGENASE-RXN	UNSPECIFIC-MONOOXYGENASE-RXN																				UNSPECIFIC-MONOOXYGENASE-RXN
AMIGO3	Q86WK7	['AMIGO3', 'ALI3', 'KIAA1851', 'UNQ6084/PRO20089']	['GMPPB', 'KIAA1851']	GDP-mannose biosynthesis	PWY-5659	2.7.7.13-RXN,MANNPGUANYLTRANGDP-RXN	2.7.7.13-RXN,MANNPGUANYLTRANGDP-RXN																				
CIR1	Q86X95	['CIR1', 'CIR']	['UBE2V1', 'CROC-1', 'UEV1A', 'UEV-1', 'CROC1', 'UEV1', 'CIR1']	protein ubiquitylation	PWY-7511	RXN-15556	RXN-15556																				
PPP1R3B	Q86XI6	['PPP1R3B', 'PPP1R4']	['PPP1R3B', 'PPP1R4']			3.1.3.16-RXN	3.1.3.16-RXN																				
PTRH1	Q86Y79	['PTRH1', 'C9orf115']	['PTRH1', 'C9orf115']			L-asparaginyl-tRNAasn hydrolase,AMINOCYL-TRNA-HYDROLASE-RXN	RXN-12460,AMINOCYL-TRNA-HYDROLASE-RXN																				
SGK223	Q86YV5	['SGK223']	['SGK223']			2.7.10.1-RXN	2.7.10.1-RXN																				
MYLK4	Q86YV6	['MYLK4', 'SGK085']	['MYLK4', 'SGK085']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CAMK1D	Q8IU85	['CAMK1D', 'CAMKID']	['CAMK1D']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
EPHX4	Q8IUS5	['EPHX4', 'ABHD7', 'EPHXRP']	['EPHX4', 'ABHD7', 'EPHXRP']			RXN-12134,RXN-12140,RXN-12141,RXN-12142	RXN-12134,RXN-12140,RXN-12141,RXN-12142																				
MAP4K3	Q8IVH8	['MAP4K3', 'RAB8IPL1']	['MAP4K3', 'RAB8IPL1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MCAT	Q8IVS2	['MCAT', 'MT']	['MCAT', 'MT']	fatty acid biosynthesis initiation	PWY-5966-1	MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-COA-ACP-TRANSACYL-RXN					MALONYL-COA-ACP-TRANSACYL-RXN															
NKAIN4	Q8IVV8	['NKAIN4', 'C20orf58', 'FAM77A']	['NKAIN4', 'C20orf58', 'FAM77A']			3.6.3.9-RXN	3.6.3.9-RXN																				
CDKL3	Q8IVW4	['CDKL3', 'NKIAMRE']	['CDKL3', 'NKIAMRE']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
APLF	Q8IW19	['APLF', 'C2orf13', 'PALF', 'XIP1']	['APLF', 'C2orf13', 'PALF', 'XIP1']			RXN0-2601,4.2.99.18-RXN	RXN0-2601,4.2.99.18-RXN																				
PLEKHM2	Q8IWE5	['PLEKHM2', 'KIAA0842', 'SKIP']	['INPP5K', 'PPS', 'SKIP']	D-myo-inositol (1,4,5)-trisphosphate degradation,superpathway of inositol phosphate compounds,superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism,1D-myo-inositol hexakisphosphate biosynthesis II (mammalian),D-myo-inositol (1,3,4)-trisphosphate biosynthesis,3-phosphoinositide degradation	PWY-6363,PWY-6371,PWY-6358,PWY-6362,PWY-6364,PWY-6368	3.1.3.56-RXN,RXN-10036,RXN-8730,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	3.1.3.56-RXN,RXN-10036,RXN-8730,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN									3.1.3.56-RXN,PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN											RXN-10036,RXN-8730
BRSK2	Q8IWQ3	['BRSK2', 'C11orf7', 'PEN11B', 'SADA', 'STK29', 'HUSSY-12']	['BRSK2', 'C11orf7', 'HUSSY-12', 'PEN11B', 'STK29']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ANKHD1	Q8IWZ3	['ANKHD1', 'KIAA1085', 'MASK', 'VBARP', 'PP2500']	['MST4', 'MASK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
LMTK2	Q8IWU2	['LMTK2', 'AATYK2', 'BREK', 'KIAA1079', 'KPI2', 'LMR2']	['LMTK2', 'AATYK2', 'BREK', 'KIAA1079', 'KPI2', 'LMR2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SULF1	Q8IWU6	['SULF1', 'KIAA1077']	['SULF1', 'HSULF-1', 'SULF-1', 'HS11934', 'KIAA1077']			ARYLSULFAT-RXN	ARYLSULFAT-RXN																				
UEVLD	Q8IX04	['UEVLD', 'UEV3']	['UEVLD', 'UEV3']	protein ubiquitylation	PWY-7511	RXN-15556	RXN-15556																				
NIM1K	Q8IY84	['NIM1K', 'NIM1']	['NIM1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PRSS58	Q8IYP2	['PRSS58', 'TRY1', 'TRYX3', 'UNQ2540/PRO6090']	['TRYX3', 'TRY1', 'UNQ2540/PRO6090']			3.4.21.4-RXN	3.4.21.4-RXN																				
CMTR2	Q8IYT2	['CMTR2', 'AFT', 'FTSJD1']	['FTSJD1']	mRNA capping	PWY-7375-1	RXN-14928	RXN-14928																			RXN-14928	
KATNAL2	Q8IYT4	['KATNAL2']	['KATNAL2']			3.6.4.3-RXN	3.6.4.3-RXN																				
ULK2	Q8IYT8	['ULK2', 'KIAA0623']	['ULK2', 'KIAA0623']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TRMT2A	Q8IZ69	['TRMT2A', 'HTF9C']	['TRMT2A', 'HTF9C']			TRNA-URACIL-5--METHYLTRANSFERASE-RXN	TRNA-URACIL-5--METHYLTRANSFERASE-RXN																				
CDK20	Q8IZL9	['CDK20', 'CCRK', 'CDCH']	['CCRK', 'CDCH']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SLC38A6	Q8IZM9	['SLC38A6', 'NAT1', 'SNAT6']	['SLC6A2', 'SLC6A5', 'NAT1', 'AAC1', 'NET1']			ARYLAMINE-N-ACETYLTRANSFERASE-RXN,2.3.1.118-RXN,sodium coupled noradrenaline plasma membrane transport	ARYLAMINE-N-ACETYLTRANSFERASE-RXN,2.3.1.118-RXN,TRANS-RXN66-1105	ARYLAMINE-N-ACETYLTRANSFERASE-RXN										TRANS-RXN66-1105									
GCNT2	Q8N0V5	['GCNT2', 'GCNT5', 'II', 'NACGT1']	['GCNT2', 'GCNT5', 'II', 'NACGT1']	terminal O-glycans residues modification (via type 2 precursor disaccharide),i antigen and I antigen biosynthesis	PWY-7434,PWY-7837	2.4.1.150-RXN	2.4.1.150-RXN																		2.4.1.150-RXN		
CLYBL	Q8N0X4	['CLYBL', 'CLB']	['CLYBL', 'CLB']			RXN-18333,MALSYN-RXN	RXN-18333,MALSYN-RXN									RXN-18333,MALSYN-RXN											
CYP4X1	Q8N118	['CYP4X1', 'UNQ1929/PRO4404']	['CYP4X1', 'UNQ1929/PRO4404']	bupropion degradation,nicotine degradation III,nicotine degradation IV,acetone degradation I (to methylglyoxal),superpathway of tryptophan utilization,superpathway of melatonin degradation,melatonin degradation I	PWY66-241,PWY66-221,PWY66-201,PWY-5451,PWY66-401,PWY-6402,PWY-6398	UNSPECIFIC-MONOOXYGENASE-RXN,RXN66-61,RXN66-181,RXN66-170,RXN66-169,RXN66-163,RXN66-161,RXN66-146,RXN-8630,RXN-11057,RXN-11056	UNSPECIFIC-MONOOXYGENASE-RXN,RXN66-61,RXN66-181,RXN66-170,RXN66-169,RXN66-163,RXN66-161,RXN66-146,RXN-8630,RXN-11057,RXN-11056												RXN66-61,RXN66-169,RXN66-163,RXN66-161,RXN66-146								UNSPECIFIC-MONOOXYGENASE-RXN
PDIK1L	Q8N165	['PDIK1L', 'CLIK1L']	['PDIK1L', 'CLIK1L']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CMTR1	Q8N1G2	['CMTR1', 'FTSJD2', 'KIAA0082', 'MTR1']	['FTSJD2', 'KIAA0082']	mRNA capping	PWY-7375-1	2.1.1.57-RXN	2.1.1.57-RXN									2.1.1.57-RXN											
SLC39A11	Q8N1S5	['SLC39A11', 'C17orf26', 'ZIP11']	['SLC39A11', 'C17orf26', 'ZIP11']			zinc plasma membrane transport	TRANS-RXN66-565											TRANS-RXN66-565									
TMEM55A	Q8N4L2	['TMEM55A']	['TMEM55A', 'DKFZP762O076']	superpathway of inositol phosphate compounds,D-myo-inositol-5-phosphate metabolism,3-phosphoinositide degradation	PWY-6371,PWY-6367,PWY-6368	RXN-9779	RXN-9779									RXN-9779											
CPA6	Q8N4T0	['CPA6', 'CPAH']	['CPA6', 'CPAH']			CARBOXYPEPTIDASE-A-RXN,CARBOXYPEPTIDASE-B-RXN	CARBOXYPEPTIDASE-A-RXN,CARBOXYPEPTIDASE-B-RXN																				
DCLK2	Q8N568	['DCLK2', 'DCAMKL2', 'DCDC3B', 'DCK2']	['DCLK2', 'DCAMKL2', 'DCDC3B', 'DCK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
GBGT1	Q8N5D6	['GBGT1', 'UNQ2513/PRO6002']	['GBGT1', 'UNQ2513/PRO6002']	super pathway of glycosphingolipids biosynthesis,globo-series glycosphingolipids biosynthesis	PWY-7835,PWY-7838	2.4.1.88-RXN	2.4.1.88-RXN																		2.4.1.88-RXN		
DPP10	Q8N608	['DPP10', 'DPRP3', 'KIAA1492']	['DPP10', 'DPRP3', 'KIAA1492']			3.4.14.5-RXN	3.4.14.5-RXN																				
ALLC	Q8N6M5	['ALLC']	['ALLC', 'ALC']			ALLANTOICASE-RXN	ALLANTOICASE-RXN																				
CSNK1A1L	Q8N752	['CSNK1A1L']	['CSNK1A1L']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NKAIN3	Q8N8D7	['NKAIN3', 'FAM77D']	['NKAIN3', 'FAM77D']			3.6.3.9-RXN	3.6.3.9-RXN																				
FADS6	Q8N9I5	['FADS6', 'FP18279']	['FADS6', 'FP18279']	oleate biosynthesis	PWY-5996	RXN-11680,1.14.19.1-RXN	RXN-11680,1.14.19.1-RXN																				
POMGNT2	Q8NAT1	['POMGNT2', 'AGO61', 'C3orf39', 'EOGTL', 'GTDC2']	['POMGNT2', 'C3orf39', 'AGO61', 'GTDC2']	protein O-mannosylation III (mammals, core M3)	PWY-7979	RXN-19399	RXN-19399			RXN-19399																	
USP38	Q8NB14	['USP38', 'KIAA1891']	['USP38', 'KIAA1891']			3.4.19.12-RXN	3.4.19.12-RXN																				
SPATA5	Q8NB90	['SPATA5', 'AFG2', 'SPAF']	['SPATA5', 'AFG2', 'SPAF']			RXN-11109	RXN-11109																				
KLHL23	Q8NBE8	['KLHL23']	['PHOSPHO2', 'KLHL23', 'HS16094']			3.1.3.74-RXN	3.1.3.74-RXN				3.1.3.74-RXN																
UXS1	Q8NBZ7	['UXS1', 'UNQ2538/PRO6079']	['UXS1', 'UNQ2538/PRO6079']	UDP-D-xylose and UDP-D-glucuronate biosynthesis	PWY-4821	UDP-GLUCURONATE-DECARBOXYLASE-RXN	UDP-GLUCURONATE-DECARBOXYLASE-RXN																				
SLC4A11	Q8NBS3	['SLC4A11', 'BTR1']	['SLC4A11', 'BTR1']			sodium borate cotransporter 1	TRANS-RXN66-567											TRANS-RXN66-567									
B3GALNT2	Q8NCR0	['B3GALNT2']	['B3GALNT2']	protein O-mannosylation III (mammals, core M3)	PWY-7979	RXN-19398	RXN-19398									RXN-19398											
C3orf58	Q8NDZ4	['C3orf58', 'DIA1']	['CYB5R3', 'DIA1']			RXN-11195,CYTOCHROME-B5-REDUCTASE-RXN	RXN-11195,CYTOCHROME-B5-REDUCTASE-RXN																				
HIPK4	Q8NE63	['HIPK4']	['HIPK4']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
BVES	Q8NE79	['BVES', 'POP1', 'POPDC1']	['POP1', 'KIAA0061']			3.1.26.5-RXN	3.1.26.5-RXN																				
DUSP18	Q8NEJ0	['DUSP18', 'LMWDSP20']	['DUSP18', 'LMWDSP20']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
MYO3A	Q8NEV4	['MYO3A']	['MYO3A', 'DFNB30']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
USP32	Q8NFA0	['USP32', 'USP10']	['USP32', 'USP10']			3.4.19.12-RXN	3.4.19.12-RXN																				
ANKK1	Q8NFD2	['ANKK1', 'PKK2', 'SGK288']	['ANKK1', 'PKK2', 'SGK288']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
GCNT2	Q8NFS9	['GCNT2', 'GCNT5', 'II', 'NACGT1']	['GCNT2', 'GCNT5', 'II', 'NACGT1']	terminal O-glycans residues modification (via type 2 precursor disaccharide),i antigen and I antigen biosynthesis	PWY-7434,PWY-7837	2.4.1.150-RXN	2.4.1.150-RXN																		2.4.1.150-RXN		
HELB	Q8NG08	['HELB']	['HELB']			RXN-11135	RXN-11135																				
NEK11	Q8NG66	['NEK11']	['NEK11', 'FLJ23495']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
GOT1L1	Q8NHS2	['GOT1L1']	['GOT1L1']	aspartate biosynthesis	ASPARTATESYN-PWY	ASPAMINOTRANS-RXN	ASPAMINOTRANS-RXN																				
PPTC7	Q8NI37	['PPTC7', 'TAPP2C']	['PPTC7', 'TAPP2C']			3.1.3.16-RXN	3.1.3.16-RXN																				
UHMK1	Q8TAS1	['UHMK1', 'KIS', 'KIST']	['UHMK1', 'KIS', 'KIST']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
OSR1	Q8TAX0	['OSR1', 'ODD']	['OXSR1', 'KIAA1101', 'OSR1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CPT1C	Q8TCG5	['CPT1C', 'CATL1']	['CPT1C', 'FLJ23809']	mitochondrial L-carnitine shuttle	PWY-6111	RXN-9918,CARNITINE-O-PALMITOYLTRANSFERASE-RXN	RXN-9918,CARNITINE-O-PALMITOYLTRANSFERASE-RXN															RXN-9918			CARNITINE-O-PALMITOYLTRANSFERASE-RXN		
STT3B	Q8TCJ2	['STT3B', 'SIMP']	['STT3B', 'SIMP']	dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.119-RXN	2.4.1.119-RXN																				
PHOSPHO2	Q8TCD6	['PHOSPHO2']	['PHOSPHO2', 'KLHL23', 'HS16094']			3.1.3.74-RXN	3.1.3.74-RXN				3.1.3.74-RXN																
PNPT1	Q8TCS8	['PNPT1', 'PNPASE']	['PNPT1', 'PNPASE']			2.7.7.8-RXN	2.7.7.8-RXN																				
HM13	Q8TCT9	['HM13', 'H13', 'IMP1', 'PSL3', 'SPP', 'MSTP086']	['HM13', 'H13', 'IMP1', 'MSTP086', 'PSL3', 'SPP']			RXN0-3201,3.4.21.89-RXN	RXN0-3201,3.4.21.89-RXN																				
SLC7A13	Q8TCU3	['SLC7A13', 'AGT1', 'XAT2']	['AGXT1', 'AGT1', 'SPAT']	glycine biosynthesis	GLYSYN-ALA-PWY	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,SERINE--PYRUVATE-AMINOTRANSFERASE-RXN				ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN			SERINE--PYRUVATE-AMINOTRANSFERASE-RXN													
MAPK15	Q8TD08	['MAPK15', 'ERK7', 'ERK8']	['MAPK15', 'ERK8']			2.7.11.24-RXN	2.7.11.24-RXN																				
BRSK1	Q8TDC3	['BRSK1', 'KIAA1811', 'SAD1', 'SADB']	['BRSK1', 'KIAA1811', 'SAD1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RNASEH2C	Q8TDP1	['RNASEH2C', 'AYP1']	['RNASEH2C', 'AYP1']			3.1.26.4-RXN	3.1.26.4-RXN																				
STK35	Q8TDR2	['STK35', 'CLIK1', 'PDIK1', 'STK35L1']	['STK35', 'CLIK1', 'PDIK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SSH3	Q8TE77	['SSH3', 'SSH3L']	['SSH3', 'SSH3L']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
PXYLP1	Q8TE99	['PXYLP1', 'ACPL2', 'HEL124', 'XYLP', 'UNQ370/PRO706']	['ACPL2', 'UNQ370/PRO706']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
DTD1	Q8TEA8	['DTD1', 'C20orf88', 'DUEB', 'HARS2']	['HARS2', 'HARSL', 'HARSR', 'HO3']	tRNA charging	TRNA-CHARGING-PWY	HISTIDINE--TRNA-LIGASE-RXN	HISTIDINE--TRNA-LIGASE-RXN																				
RHBDD1	Q8TEB9	['RHBDD1', 'RHBDL4', 'HSD-50', 'HSD50']	['RHBDL3', 'RHBDL4', 'VRHO']			3.4.21.105-RXN	3.4.21.105-RXN																				
GANC	Q8TET4	['GANC']	['GANC']			RXN0-5183,RXN-15910,MALTODEXGLUCOSID-RXN	RXN0-5183,RXN-15910,MALTODEXGLUCOSID-RXN																				
COX7B2	Q8TF08	['COX7B2']	['COX7B2']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
GSG2	Q8TF76	['GSG2']	['GSG2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
DUSP19	Q8WTR2	['DUSP19', 'DUSP17', 'LMWDSP3', 'SKRP1']	['DUSP19', 'DUSP17', 'SKRP1']			3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN	3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
CA5BP1	Q8WTZ4	['CA5BP1', 'CA5B', 'CA5BL']	['CA5B']			RXN0-5224,CARBODEHYDRAT-RXN	RXN0-5224,CARBODEHYDRAT-RXN																				
STK32A	Q8WU08	['STK32A', 'YANK1']	['STK32A']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
UBLCP1	Q8WVY7	['UBLCP1']	['UBLCP1', 'FLJ25267']			3.1.3.16-RXN	3.1.3.16-RXN																				
TRUB1	Q8WWH5	['TRUB1', 'PUS4']	['TRUB1', 'PUS4']			RXN-11839,RXN-11840,RXN-11841,RXN-11842,TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN,RXN0-5398	RXN-11839,RXN-11840,RXN-11841,RXN-11842,TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN,RXN0-5398																				
PYDC1	Q8WXC3	['PYDC1', 'ASC2', 'ASCI', 'POP1', 'PYC1']	['POP1', 'KIAA0061']			3.1.26.5-RXN	3.1.26.5-RXN																				
CPA5	Q8WXQ8	['CPA5']	['CPA5']			CARBOXYPEPTIDASE-A-RXN	CARBOXYPEPTIDASE-A-RXN																				
MYO3B	Q8WXR4	['MYO3B']	['MYO3B']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TMEM37	Q8WXS4	['TMEM37', 'PR']	['TMEM37', 'PR']			TRANS-RXN66-559	TRANS-RXN66-559											TRANS-RXN66-559									
NANOS1	Q8WY41	['NANOS1', 'NOS1']	['NOS1', 'NOS']	citrulline-nitric oxide cycle	PWY-4983	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565	NITRIC-OXIDE-SYNTHASE-RXN,RXN-13564,RXN-13565					NITRIC-OXIDE-SYNTHASE-RXN															
SSH1	Q8WYL5	['SSH1', 'KIAA1298', 'SSH1L']	['SSH1', 'KIAA1298', 'SSH1L']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
KCTD13	Q8WZ19	['KCTD13', 'BACURD1', 'PDIP1', 'POLDIP1', 'FKSG86', 'PP6832']	['PDIP1', 'FKSG86']			DNA-DIRECTED-DNA-POLYMERASE-RXN	DNA-DIRECTED-DNA-POLYMERASE-RXN																				
MAFIP	Q8WZ33	['MAFIP', 'MIP', 'PP5644']	['MIPEP', 'MIP']			3.4.24.59-RXN	3.4.24.59-RXN																				
TMEM158	Q8WZ71	['TMEM158', 'HBBP', 'RIS1']	['UQCRFS1', 'HS10516', 'RIS1']			1.10.2.2-RXN	1.10.2.2-RXN																				
DNASE2B	Q8WZ79	['DNASE2B', 'DLAD']	['DNASE2B', 'DLAD']			3.1.22.1-RXN	3.1.22.1-RXN																				
APPBP2	Q92624	['APPBP2', 'KIAA0228', 'PAT1']	['SLC36A1', 'PAT1']			proton coupled glycine plasma membrane transport,proton coupled proline plasma membrane transport,proton coupled alanine plasma membrane transport	TRANS-RXN66-1230,RXN66-451,RXN66-450																				TRANS-RXN66-1230,RXN66-451,RXN66-450
FRZB	Q92765	['FRZB', 'FIZ', 'FRE', 'FRP', 'FRZB1', 'SFRP3']	['FSTL1', 'FRP']	BMP Signalling Pathway	PWY66-11																						
CDKL2	Q92772	['CDKL2']	['CDKL2', 'KKIAMRE', 'P56']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
EZH1	Q92800	['EZH1', 'KIAA0388']	['EZH1', 'KIAA0388']			HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN	HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN																				
DNASE1L2	Q92874	['DNASE1L2', 'DHP1', 'DNAS1L2']	['DNASE1L2', 'DHP1', 'DNAS1L2']			3.1.21.1-RXN	3.1.21.1-RXN																				
KLK6	Q92876	['KLK6', 'PRSS18', 'PRSS9']	['KLK6', 'PRSS18', 'PRSS9']			3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103	3.4.21.53-RXN,3.4.21.92-RXN,RXN0-3182,RXN0-5103																				
MAP4K1	Q92918	['MAP4K1', 'HPK1']	['MAP4K1', 'HPK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PRG4	Q92954	['PRG4', 'MSF', 'SZP']	['LPPR2', 'PRG4']	triacylglycerol biosynthesis	TRIGLSYN-PWY	PHOSPHATIDATE-PHOSPHATASE-RXN	PHOSPHATIDATE-PHOSPHATASE-RXN									PHOSPHATIDATE-PHOSPHATASE-RXN											
